"","USP33","USP39","FBXO22"
"TCGA-W5-AA2T-01A-12R-A41I-07",35.1497,48.3342,11.2837
"TCGA-ZH-A8Y5-01A-11R-A41I-07",18.8427,43.0006,8.6456
"TCGA-3X-AAVA-01A-11R-A41I-07",37.738,44.4808,7.3287
"TCGA-3X-AAV9-01A-72R-A41I-07",18.7531,29.4571,5.2037
"TCGA-ZU-A8S4-01A-11R-A41I-07",28.5287,61.7564,6.8543
"TCGA-W5-AA2H-01A-31R-A41I-07",19.3617,35.122,3.3458
"TCGA-W5-AA36-01A-11R-A41I-07",17.0312,35.5666,7.0947
"TCGA-ZH-A8Y8-01A-51R-A41I-07",46.5545,44.4764,17.3103
"TCGA-ZH-A8Y1-01A-11R-A41I-07",33.4378,36.15,9.7112
"TCGA-W5-AA33-01A-11R-A41I-07",23.57,28.7809,11.1349
"TCGA-ZD-A8I3-01A-11R-A41I-07",20.1579,46.4014,14.9424
"TCGA-W5-AA30-01A-31R-A41I-07",32.0955,37.5538,9.0443
"TCGA-3X-AAVC-01A-21R-A41I-07",36.3954,39.3331,5.7652
"TCGA-W5-AA2U-01A-11R-A41I-07",32.442,29.252,11.9958
"TCGA-W6-AA0S-01A-11R-A41I-07",11.8345,45.3936,9.963
"TCGA-W5-AA2X-01A-11R-A41I-07",25.095,75.8581,16.4841
"TCGA-ZH-A8Y4-01A-11R-A41I-07",29.5743,36.8556,11.2134
"TCGA-4G-AAZO-01A-12R-A41I-07",40.4702,30.6094,10.5194
"TCGA-WD-A7RX-01A-12R-A41I-07",21.4774,34.0119,6.9626
"TCGA-W5-AA2O-01A-11R-A41I-07",23.8829,52.2066,10.2672
"TCGA-W5-AA31-01A-11R-A41I-07",34.3405,46.9039,8.6754
"TCGA-W5-AA38-01A-11R-A41I-07",26.2163,39.6,22.615
"TCGA-ZH-A8Y2-01A-11R-A41I-07",57.5185,58.7036,12.8301
"TCGA-W5-AA2I-01A-32R-A41I-07",17.2891,26.098,4.8385
"TCGA-ZH-A8Y6-01A-11R-A41I-07",50.365,37.8824,8.4801
"TCGA-YR-A95A-01A-12R-A41I-07",26.4788,22.9199,8.3426
"TCGA-W5-AA2Q-01A-11R-A41I-07",31.869,44.9799,9.8947
"TCGA-3X-AAVB-01A-31R-A41I-07",28.4933,35.352,5.1391
"TCGA-W5-AA2Z-01A-11R-A41I-07",56.7476,38.1093,9.6621
"TCGA-W5-AA2W-01A-11R-A41I-07",18.7952,51.9346,18.7705
"TCGA-3X-AAVE-01A-11R-A41I-07",44.1232,46.3024,10.2768
"TCGA-4G-AAZT-01A-11R-A41I-07",17.6343,28.0767,4.9984
"TCGA-W5-AA2G-01A-11R-A41I-07",31.5211,63.1694,9.1123
"TCGA-W5-AA39-01A-11R-A41I-07",17.9243,27.7492,7.1043
"TCGA-W5-AA34-01A-11R-A41I-07",33.569,37.874,7.1522
