"","ANGPT2","CDH5","ESAM","ESM1","ERG","ICAM2","TIE1"
"TCGA-W5-AA2T-01A-12R-A41I-07",5.0408,7.0022,24.8387,16.8988,1.4377,3.7848,6.6055
"TCGA-ZH-A8Y5-01A-11R-A41I-07",6.2548,12.3228,39.2896,6.8057,4.964,2.8157,7.464
"TCGA-3X-AAVA-01A-11R-A41I-07",3.5306,17.6994,45.4451,13.5429,4.673,3.031,14.3428
"TCGA-3X-AAV9-01A-72R-A41I-07",7.6009,32.0587,59.7738,2.0452,10.8257,10.7524,25.4649
"TCGA-ZU-A8S4-01A-11R-A41I-07",9.0056,21.7651,29.6939,358.7775,5.2337,2.3987,23.0213
"TCGA-W5-AA2H-01A-31R-A41I-07",4.0911,13.7033,21.7371,0.6816,6.2293,23.9936,14.5544
"TCGA-W5-AA36-01A-11R-A41I-07",2.9405,10.3397,41.1204,5.4203,2.6259,2.3548,11.1352
"TCGA-ZH-A8Y8-01A-51R-A41I-07",4.9489,16.7259,30.7058,100.1236,4.4164,8.396,10.6342
"TCGA-ZH-A8Y1-01A-11R-A41I-07",12.3146,21.3345,48.2354,20.1573,7.2424,6.5997,15.4605
"TCGA-W5-AA33-01A-11R-A41I-07",1.9005,21.1758,25.8993,2.2748,6.2571,3.5037,15.3065
"TCGA-ZD-A8I3-01A-11R-A41I-07",9.8607,13.157,33.9465,27.3778,2.9708,5.8731,8.3737
"TCGA-W5-AA30-01A-31R-A41I-07",6.3107,30.0075,52.3386,45.7244,7.3713,8.1387,17.07
"TCGA-3X-AAVC-01A-21R-A41I-07",11.546,25.201,43.3406,63.9853,3.3835,3.0296,11.6876
"TCGA-W5-AA2U-01A-11R-A41I-07",2.8936,26.3653,33.7067,3.3042,6.2313,2.9614,17.0151
"TCGA-W6-AA0S-01A-11R-A41I-07",2.4569,6.4931,15.9245,2.7805,3.1538,1.5727,5.1667
"TCGA-W5-AA2X-01A-11R-A41I-07",1.7595,8.8926,15.3587,4.2955,1.8755,2.3129,6.7819
"TCGA-ZH-A8Y4-01A-11R-A41I-07",4.3094,16.5494,26.8255,8.8772,3.5666,3.232,10.5464
"TCGA-4G-AAZO-01A-12R-A41I-07",3.7081,7.4093,16.8302,8.2519,1.8823,1.722,6.1449
"TCGA-WD-A7RX-01A-12R-A41I-07",1.3289,21.8766,28.2763,3.281,5.5053,5.9111,14.2267
"TCGA-W5-AA2O-01A-11R-A41I-07",0.625,5.346,12.5857,0.7457,1.1405,0.5952,5.2392
"TCGA-W5-AA31-01A-11R-A41I-07",10.7143,28.0945,42.1877,21.595,6.2484,2.8712,19.6487
"TCGA-W5-AA38-01A-11R-A41I-07",5.0961,7.8875,24.4962,5.856,1.2825,6.7918,5.1857
"TCGA-ZH-A8Y2-01A-11R-A41I-07",2.3635,19.0153,22.5996,1.4624,4.099,3.0347,14.848
"TCGA-W5-AA2I-01A-32R-A41I-07",0.3994,1.9514,4.5188,0.5732,0.5965,0.1477,2.3964
"TCGA-ZH-A8Y6-01A-11R-A41I-07",4.2719,49.0215,60.232,30.946,6.8158,3.2138,20.6716
"TCGA-YR-A95A-01A-12R-A41I-07",2.3015,16.8793,24.7839,2.9567,3.4397,1.8799,10.9112
"TCGA-W5-AA2Q-01A-11R-A41I-07",7.1304,17.2739,38.3377,27.29,5.2258,6.402,9.1873
"TCGA-3X-AAVB-01A-31R-A41I-07",5.9685,11.9431,38.6519,27.253,3.407,5.0478,8.8923
"TCGA-W5-AA2Z-01A-11R-A41I-07",10.6117,24.3164,49.6717,32.6805,9.6209,10.8407,17.1231
"TCGA-W5-AA2W-01A-11R-A41I-07",8.1013,11.2448,19.8016,20.6595,2.112,1.4193,7.365
"TCGA-3X-AAVE-01A-11R-A41I-07",2.3603,14.6525,22.4382,4.3623,4.2833,3.696,10.2911
"TCGA-4G-AAZT-01A-11R-A41I-07",1.1588,10.573,35.4964,2.7543,2.8026,3.182,11.2063
"TCGA-W5-AA2G-01A-11R-A41I-07",1.8366,17.7783,28.3683,1.7033,4.4117,4.1258,13.5987
"TCGA-W5-AA39-01A-11R-A41I-07",0.9004,8.6968,14.8418,2.3879,1.9281,1.087,5.7832
"TCGA-W5-AA34-01A-11R-A41I-07",1.9014,3.9867,13.222,6.6857,0.8997,2.6182,3.6367
